step,reward,reward_std,frac_reward_zero_std,entropy,loss,grad_norm,learning_rate,step_time,completions/mean_length,clipped_ratio,judge_mean,length_mean,paint_fraction_mean,quality_mean
0,0.3836,0.3001,0,0.3507,-0.0164,0.04432,0,814.8,2135,0,0.177,0.455,0.054,0.46
1,0.546,0.3422,0,0.2786,0.004792,0.04894,1e-05,864.2,1908,0,0.474,0.378,0.107,0.573
2,0.5765,0.2953,0,0.2789,0.05461,0.04982,2e-05,826.2,1919,0,0.547,0.4,0.074,0.571
3,0.496,0.1106,0,0.2703,0.01618,0.01743,3e-05,1025,1749,0,0.292,0.341,0.099,0.569
4,0.5968,0.1172,0,0.2842,0.01587,0.03159,4e-05,1008,1849,0,0.417,0.375,0.115,0.672
5,0.6314,0.2507,0,0.2897,0.04293,0.04168,5e-05,911.6,1672,0,0.562,0.337,0.092,0.66
6,0.417,0.3415,0,0.2928,-0.007998,0.05169,5e-05,674.1,1653,0,0.312,0.322,0.067,0.442
7,0.4996,0.2445,0,0.2824,-0.007298,0.04004,5e-05,790.1,1550,0,0.349,0.304,0.115,0.55
8,0.3951,0.3258,0,0.2948,0.027,0.05443,5e-05,809.3,1810,0,0.245,0.361,0.079,0.453
9,0.5058,0.3068,0,0.2661,-0.01439,0.07821,5e-05,807.3,1507,0,0.521,0.279,0.116,0.476
10,0.5281,0.2783,0,0.2748,0.03204,0.03898,5e-05,849.7,1584,0,0.589,0.286,0.106,0.479
11,0.4759,0.2106,0,0.2701,0.02802,0.02611,5e-05,968.7,1825,0,0.271,0.35,0.124,0.545
12,0.5047,0.1789,0,0.2758,-0.00353,0.02221,5e-05,835.9,1738,0,0.125,0.338,0.097,0.667
13,0.5739,0.2091,0,0.2508,-0.01179,0.01797,5e-05,1680,2444,0.125,0.385,0.298,0.101,0.656
14,0.6351,0.3444,0,0.2832,0.04494,0.04355,5e-05,1062,2187,0,0.651,0.438,0.113,0.626
15,0.491,0.3162,0,0.2546,0.07203,0.05973,5e-05,892.7,1592,0,0.38,0.3,0.173,0.536
16,0.5766,0.2619,0,0.2598,0.02396,0.03492,5e-05,907.6,1696,0,0.406,0.323,0.128,0.661
17,0.6087,0.1845,0,0.2562,-0.01539,0.2059,5e-05,1040,1774,0,0.443,0.321,0.183,0.683
18,0.5538,0.1421,0,0.2514,0.005049,0.02047,5e-05,735.5,1578,0,0.156,0.299,0.129,0.737
19,0.5559,0.2024,0,0.2294,-0.0134,0.02274,5e-05,861.8,1694,0,0.266,0.303,0.145,0.685
20,0.5462,0.1698,0,0.2695,0.001418,0.02489,5e-05,948.4,1742,0,0.172,0.322,0.149,0.714
21,0.7031,0.1228,0,0.2634,0.02985,0.01247,5e-05,1598,2466,0,0.583,0.316,0.152,0.771
22,0.5822,0.315,0,0.262,0.05435,0.04551,5e-05,1005,1806,0,0.562,0.329,0.149,0.578
23,0.5965,0.08962,0,0.2558,0.009846,0.01214,5e-05,831.6,1490,0,0.266,0.261,0.113,0.756
24,0.4981,0.1169,0,0.2587,0.003494,0.01519,5e-05,913.1,1540,0,0.276,0.269,0.101,0.586
25,0.4825,0.3031,0,0.271,-0.03197,0.04485,5e-05,923.5,1713,0,0.37,0.285,0.139,0.525
26,0.6059,0.2252,0,0.24,-0.002939,0.0248,5e-05,1166,2129,0,0.56,0.356,0.119,0.617
27,0.6246,0.2466,0,0.2232,0.02137,0.03172,5e-05,1031,1749,0,0.505,0.307,0.115,0.68
28,0.6276,0.26,0,0.2444,0.01682,0.04405,5e-05,1079,1668,0,0.552,0.283,0.159,0.663
29,0.7054,0.132,0,0.2216,0.004232,0.01902,5e-05,1047,1712,0,0.641,0.299,0.18,0.747
30,0.6838,0.1456,0,0.2319,-0.004111,0.01715,5e-05,1005,1739,0,0.562,0.307,0.178,0.749
31,0.6546,0.1548,0,0.237,0.00671,0.02113,5e-05,1053,1892,0,0.464,0.333,0.181,0.748
32,0.6771,0.1502,0,0.2381,-0.002342,0.01992,5e-05,1002,1583,0,0.531,0.283,0.143,0.756
33,0.6923,0.1699,0,0.2403,0.01888,0.0237,5e-05,1279,1728,0,0.693,0.297,0.197,0.699
34,0.7674,0.1709,0,0.208,0.0012,0.02494,5e-05,1165,1804,0,0.766,0.322,0.168,0.786
35,0.6349,0.2022,0,0.2273,0.01311,0.02419,5e-05,967.3,1565,0,0.484,0.274,0.164,0.71
36,0.5596,0.2573,0,0.2378,0.003272,0.0295,5e-05,1197,2036,0,0.266,0.372,0.184,0.7
37,0.7247,0.2044,0,0.1993,0.01406,0.027,5e-05,1047,1854,0,0.766,0.33,0.179,0.714
38,0.6799,0.107,0,0.2312,0.02258,0.01247,5e-05,1006,1801,0,0.557,0.319,0.183,0.745
39,0.7298,0.1651,0,0.225,0.0008915,0.02552,5e-05,1049,1734,0,0.682,0.318,0.211,0.765
40,0.6775,0.1318,0,0.2193,0.01315,0.01806,5e-05,1066,1760,0,0.448,0.31,0.146,0.796
