step,reward,reward_std,frac_reward_zero_std,entropy,loss,grad_norm,learning_rate,step_time,completions/mean_length,clipped_ratio,judge_mean,length_mean,paint_fraction_mean,quality_mean
0,0.5582,0.2775,0.0,0.3217,0.00169,0.04304,0.0,1447.0,1926.0,,0.312,0.4,0.088,0.542
1,0.5906,0.2877,0.0,0.3129,-0.002398,0.03942,1e-05,1197.0,1942.0,,0.25,0.407,0.086,0.589
2,0.5229,0.3128,0.0,0.3066,0.1408,0.05284,2e-05,1528.0,2471.0,,0.321,0.479,0.102,0.515
3,0.6858,0.07419,0.0,0.2975,0.007711,0.01026,3e-05,1391.0,1815.0,,0.188,0.361,0.184,0.686
4,0.4683,0.2519,0.0,0.3044,0.007798,0.03415,4e-05,1357.0,1872.0,,0.0,0.391,0.101,0.443
5,0.5162,0.3263,0.0,0.2829,0.02795,0.04706,5e-05,1235.0,2096.0,,0.179,0.438,0.118,0.505
6,0.3727,0.2705,0.0,0.3081,0.008596,0.04957,5e-05,768.3,1732.0,,0.172,0.354,0.091,0.348
7,0.5471,0.2597,0.0,0.3054,-0.003805,0.03653,5e-05,1099.0,1715.0,,0.328,0.341,0.107,0.533
8,0.5893,0.3422,0.0,0.3231,0.002415,0.04951,5e-05,1359.0,1911.0,,0.266,0.393,0.1,0.587
9,0.4825,0.373,0.0,0.3122,0.05791,0.05313,5e-05,1049.0,1899.0,,0.304,0.392,0.06,0.472
10,0.6888,0.1895,0.0,0.2799,-0.007975,0.02381,5e-05,1029.0,1993.0,,0.359,0.408,0.13,0.687
11,0.6334,0.2638,0.0,0.2973,0.04566,0.03833,5e-05,1225.0,2068.0,,0.458,0.422,0.094,0.625
12,0.5598,0.2838,0.0,0.2932,0.007207,0.03804,5e-05,1265.0,1981.0,,0.054,0.401,0.125,0.556
13,0.7183,0.1243,0.0,0.3224,0.004681,0.01524,5e-05,1390.0,2008.0,,0.344,0.422,0.141,0.719
14,0.6761,0.2152,0.0,0.3204,0.02401,0.03236,5e-05,846.2,1684.0,,0.281,0.347,0.091,0.676
15,0.5889,0.3319,0.0,0.3263,0.06004,0.04662,5e-05,991.7,2136.0,,0.125,0.448,0.112,0.586
16,0.6713,0.1657,0.0,0.3617,-0.02636,0.02126,5e-05,1310.0,2288.0,,0.339,0.496,0.125,0.663
17,0.5626,0.3135,0.0,0.3477,0.01348,0.04182,5e-05,953.4,2053.0,,0.321,0.45,0.081,0.556
18,0.5413,0.2651,0.0,0.3217,0.008174,0.06974,5e-05,994.9,2199.0,,0.094,0.467,0.117,0.52
19,0.6078,0.3087,0.0,0.3587,0.04928,0.04823,5e-05,1074.0,2115.0,,0.156,0.459,0.097,0.605
20,0.6133,0.1921,0.0,0.3114,-0.0004017,0.026,5e-05,919.6,1753.0,,0.393,0.353,0.12,0.606
21,0.7069,0.1421,0.0,0.3235,0.02282,0.0303,5e-05,964.3,1701.0,,0.469,0.329,0.108,0.712
22,0.5374,0.2728,0.0,0.3191,-0.006784,0.04284,5e-05,889.2,2000.0,,0.188,0.407,0.142,0.519
23,0.5988,0.3264,0.0,0.3681,0.005211,0.06064,5e-05,1136.0,2615.0,,0.333,0.482,0.076,0.595
24,0.5413,0.2731,0.0,0.3626,-0.04555,0.03408,5e-05,1067.0,2210.0,,0.062,0.47,0.068,0.52
25,0.4584,0.3171,0.0,0.3145,0.0482,0.04529,5e-05,834.7,1854.0,,0.031,0.364,0.076,0.444
26,0.6551,0.2078,0.0,0.2801,-0.005815,0.02658,5e-05,1025.0,1846.0,,0.141,0.365,0.095,0.652
27,0.556,0.2622,0.0,0.3063,0.01341,0.03375,5e-05,896.8,1955.0,,0.25,0.4,0.105,0.54
28,0.564,0.2154,0.0,0.3054,-0.002676,0.03002,5e-05,935.8,1783.0,,0.188,0.355,0.115,0.551
29,0.759,0.09788,0.0,0.3163,0.003384,0.01791,5e-05,935.7,1663.0,,0.375,0.326,0.118,0.77
30,0.7231,0.1687,0.0,0.3227,0.02604,0.0236,5e-05,966.7,2088.0,,0.438,0.416,0.156,0.725
31,0.5315,0.3593,0.0,0.3044,0.07713,0.06042,5e-05,925.4,1996.0,,0.188,0.397,0.109,0.535
32,0.7894,0.04059,0.0,0.294,0.008703,0.005732,5e-05,1022.0,1621.0,,0.589,0.307,0.11,0.804
33,0.6224,0.2145,0.0,0.2959,-0.002348,0.03469,5e-05,932.0,1738.0,,0.094,0.325,0.133,0.618
34,0.7255,0.2196,0.0,0.267,-0.01107,0.02507,5e-05,1125.0,1997.0,,0.422,0.377,0.142,0.73
35,0.6384,0.2297,0.0,0.3158,0.01875,0.03658,5e-05,860.0,1878.0,,0.047,0.365,0.085,0.634
36,0.6885,0.1928,0.0,0.3206,-0.008078,0.02598,5e-05,1076.0,1867.0,,0.203,0.362,0.109,0.689
37,0.7233,0.08371,0.0,0.2944,0.009841,0.01134,5e-05,986.9,1777.0,,0.484,0.336,0.142,0.729
38,0.7021,0.228,0.0,0.2989,-0.001848,0.03367,5e-05,932.8,1689.0,,0.641,0.335,0.135,0.706
39,0.5983,0.2253,0.0,0.3329,0.01575,0.03102,5e-05,1020.0,1696.0,,0.234,0.333,0.147,0.591
40,0.5955,0.2911,0.0,0.2959,0.02575,0.04658,5e-05,945.7,1777.0,,0.047,0.335,0.106,0.597
41,0.7,0.1601,0.0,0.2819,-0.01842,0.01742,5e-05,1257.0,2210.0,,0.281,0.428,0.154,0.698
42,0.6585,0.2029,0.0,0.3112,0.01464,0.03139,5e-05,951.0,1862.0,,0.203,0.365,0.134,0.656
43,0.6863,0.1564,0.0,0.3131,-0.009169,0.01925,5e-05,1056.0,1902.0,,0.344,0.38,0.12,0.686
44,0.7079,0.1135,0.0,0.3083,0.008371,0.01606,5e-05,922.0,1749.0,,0.25,0.344,0.098,0.712
45,0.7226,0.1054,0.0,0.2947,0.009125,0.01379,5e-05,1002.0,1701.0,,0.172,0.328,0.188,0.729
46,0.6963,0.2337,0.0,0.2792,-0.0001926,0.03269,5e-05,870.3,1622.0,,0.266,0.314,0.132,0.701
47,0.5916,0.3,0.0,0.3028,-0.01333,0.03927,5e-05,922.1,1891.0,,0.234,0.37,0.123,0.581
48,0.5691,0.3276,0.0,0.3121,0.02146,0.04531,5e-05,904.3,1958.0,,0.234,0.388,0.1,0.565
49,0.774,0.09122,0.0,0.3229,0.005477,0.01087,5e-05,911.2,1966.0,,0.484,0.401,0.151,0.782
50,0.6713,0.2101,0.0,0.2767,-0.006638,0.02375,5e-05,1051.0,1808.0,,0.411,0.332,0.119,0.672
51,0.799,0.0657,0.0,0.2939,0.01123,0.01241,5e-05,1069.0,1831.0,,0.531,0.357,0.14,0.812
52,0.6933,0.1602,0.0,0.263,0.02022,0.02112,5e-05,1013.0,1709.0,,0.094,0.326,0.143,0.697
53,0.7364,0.08783,0.0,0.3136,0.01887,0.01285,5e-05,1015.0,1840.0,,0.24,0.365,0.121,0.742
54,0.7293,0.1273,0.0,0.2813,0.01079,0.01631,5e-05,1416.0,1976.0,,0.359,0.385,0.215,0.733
55,0.7297,0.1357,0.0,0.279,0.03728,0.02617,5e-05,1176.0,2173.0,,0.312,0.425,0.12,0.732
56,0.8106,0.04025,0.0,0.2825,0.007466,0.004908,5e-05,1240.0,1830.0,,0.286,0.354,0.178,0.825
57,0.7477,0.1197,0.0,0.2714,0.01519,0.0186,5e-05,1287.0,2160.0,,0.304,0.406,0.195,0.753
58,0.801,0.05737,0.0,0.288,0.006963,0.008601,5e-05,957.7,1820.0,,0.297,0.349,0.157,0.815
59,0.7775,0.0684,0.0,0.3194,0.007489,0.007926,5e-05,1068.0,1907.0,,0.312,0.362,0.159,0.788
