step,reward,reward_std,frac_reward_zero_std,entropy,loss,grad_norm,learning_rate,step_time,completions/mean_length,clipped_ratio,judge_mean,length_mean,paint_fraction_mean,quality_mean
0,0.5543,0.3185,0,0.3233,0.03913,0.05317,0,1001,1797,0,0.521,0.374,0.076,0.577
1,0.2717,0.2808,0,0.314,0.0626,0.03609,1e-05,857.9,1858,0,0.203,0.377,0.066,0.336
2,0.428,0.316,0,0.2942,0.005169,0.04163,2e-05,844.6,1767,0,0.375,0.361,0.065,0.45
3,0.5648,0.2582,0,0.3295,-0.01411,0.03834,3e-05,1008,1829,0,0.505,0.369,0.092,0.644
4,0.6577,0.2104,0,0.3082,0.01693,0.02735,4e-05,892.9,1908,0,0.595,0.376,0.101,0.772
5,0.5712,0.229,0,0.2986,0.02919,0.03549,5e-05,1004,1887,0,0.484,0.376,0.151,0.706
6,0.3723,0.3614,0,0.2684,-0.01811,0.05581,5e-05,770.1,1642,0,0.312,0.321,0.061,0.422
7,0.4117,0.3013,0,0.262,-0.01602,0.04977,5e-05,869.9,1835,0,0.344,0.365,0.127,0.484
8,0.4476,0.2708,0,0.2997,0.005824,0.55,5e-05,819.4,1553,0,0.344,0.306,0.104,0.614
9,0.5608,0.2568,0,0.2547,0.06133,0.03633,5e-05,1114,2114,0,0.495,0.417,0.137,0.644
10,0.433,0.2254,0,0.3127,0.01886,0.02316,5e-05,902.9,2238,0,0.351,0.447,0.087,0.532
11,0.4999,0.2924,0,0.3183,0.0156,0.04885,5e-05,859.8,1778,0,0.422,0.367,0.131,0.624
12,0.1804,0.09742,0,0.2731,0.001774,0.01127,5e-05,801.9,1931,0,0.016,0.378,0.102,0.34
13,0.2946,0.2233,0,0.2973,0.06645,0.02946,5e-05,1570,2810,0.125,0.172,0.379,0.088,0.429
14,0.4652,0.319,0,0.2856,0.04437,0.04836,5e-05,913.1,1961,0,0.448,0.376,0.115,0.453
15,0.5893,0.3274,0,0.2568,0.0005377,0.04035,5e-05,1236,2210,0,0.557,0.454,0.092,0.639
16,0.3719,0.3499,0,0.2691,0.03302,0.04202,5e-05,805.7,1842,0,0.292,0.356,0.089,0.458
17,0.2644,0.2431,0,0.2575,0.005877,0.03835,5e-05,656.2,1581,0,0.161,0.302,0.076,0.422
18,0.4351,0.2215,0,0.272,-0.02775,0.03007,5e-05,1145,1807,0,0.286,0.359,0.184,0.651
19,0.2399,0.2068,0,0.2943,0.04412,0.02827,5e-05,1157,2259,0,0.115,0.457,0.092,0.369
20,0.3307,0.1803,0,0.2552,0.02137,0.02414,5e-05,974.1,1814,0,0.161,0.365,0.126,0.552
21,0.412,0.213,0,0.2287,0.02743,0.02734,5e-05,919.2,1851,0,0.281,0.347,0.079,0.586
