run,step,harness,cells,score,model_calls,tool_calls,tool_calls_median,tool_calls_p90,repeats,repeat_fraction,repeat_rollout_fraction,short_tool_fraction,budget_fraction,python_fraction,answer_path_fraction,tool_error_text_fraction,submission_fraction,submission_observations,trainable_tokens,wall_s,retry_cells,training_rows,packed_tokens
Harbor OpenCode-only,0,claude-code,250,0.168,13.248,12.696,15.0,18.0,0.552,0.03765119948518259,0.232,0.032,0.52,0.768,0.44,0.664,0.4883720930232558,86,3510.776,306.70408000000003,4,12.9,505615.996
Harbor OpenCode-only,0,codex,250,0.164,14.56,14.244,17.0,19.099999999999994,0.644,0.04206620581633926,0.34,0.08,0.632,0.756,0.376,0.576,0.3953488372093023,86,3011.892,288.04967999999997,0,1.124,19415.248
Harbor OpenCode-only,0,mini-swe-agent,250,0.144,16.028,15.152,17.0,17.0,0.404,0.026998038725979903,0.276,0.04,0.808,0.844,0.316,0.636,0.3372093023255814,86,2479.664,227.70248,4,1.248,17148.996
Harbor OpenCode-only,0,opencode,250,0.108,12.76,10.964,12.5,17.099999999999994,0.488,0.03652784315559323,0.292,0.112,0.448,0.748,0.388,0.596,0.38372093023255816,86,1885.612,273.23328000000004,3,1.216,31783.472
Harbor OpenCode-only,100,claude-code,250,0.252,15.408,15.812,17.0,19.0,2.724,0.16640826366412326,0.644,0.0,0.768,0.936,0.624,0.768,0.5930232558139535,86,3641.972,286.32432,1,15.348,608059.336
Harbor OpenCode-only,100,codex,250,0.304,15.496,16.648,17.0,20.0,2.544,0.15182294032879173,0.636,0.0,0.796,0.96,0.536,0.704,0.5348837209302325,86,3298.592,285.90372,2,1.076,17268.192
Harbor OpenCode-only,100,mini-swe-agent,250,0.204,15.156,15.084,17.0,17.0,0.824,0.05239198056845116,0.404,0.0,0.724,0.976,0.392,0.644,0.38372093023255816,86,2140.036,212.45007999999999,11,1.088,12346.168
Harbor OpenCode-only,100,opencode,250,0.22,16.928,16.98,17.0,18.0,3.736,0.2199364585706691,0.796,0.0,0.992,0.996,0.596,0.74,0.5930232558139535,86,3116.524,281.12372000000005,2,2.42,73155.784
Harbor OpenCode-only,200,claude-code,250,0.284,15.568,16.092,17.0,19.0,1.832,0.11433170750166054,0.54,0.004,0.776,0.924,0.508,0.748,0.5697674418604651,86,4204.184,290.2222,1,15.52,608079.264
Harbor OpenCode-only,200,codex,250,0.308,15.924,17.268,18.0,20.0,2.092,0.12244325080925565,0.588,0.0,0.812,0.952,0.492,0.676,0.5116279069767442,86,3497.2,277.06620000000004,0,1.044,18567.156
Harbor OpenCode-only,200,mini-swe-agent,250,0.2,15.84,15.768,17.0,17.0,0.752,0.047604835687188624,0.404,0.0,0.784,0.968,0.364,0.636,0.43023255813953487,86,2314.748,210.73584,6,1.08,14755.168
Harbor OpenCode-only,200,opencode,250,0.292,16.852,17.392,17.0,19.0,2.12,0.12248870350495737,0.712,0.0,0.972,0.976,0.532,0.788,0.5581395348837209,86,3743.516,329.72027999999995,1,2.792,88775.272
Harbor OpenCode-only,300,claude-code,250,0.304,15.784,16.72,17.0,19.0,1.672,0.10361074801180678,0.504,0.012,0.816,0.948,0.432,0.756,0.5,86,4454.876,327.57912,0,15.772,637861.168
Harbor OpenCode-only,300,codex,250,0.32,16.276,18.028,18.0,21.0,2.116,0.12139348994119253,0.628,0.0,0.868,0.976,0.5,0.728,0.5116279069767442,86,3702.284,318.68788,2,1.084,19064.132
