run,step,harness,truncated,context_limit,aux
Harbor OpenCode-only,0,claude-code,4,8,54
Harbor OpenCode-only,0,codex,1,0,28
Harbor OpenCode-only,0,mini-swe-agent,0,0,44
Harbor OpenCode-only,0,opencode,0,2,3
Harbor OpenCode-only,100,claude-code,2,6,0
Harbor OpenCode-only,100,codex,2,0,2
Harbor OpenCode-only,100,mini-swe-agent,0,0,23
Harbor OpenCode-only,100,opencode,0,2,0
Harbor OpenCode-only,200,claude-code,1,7,0
Harbor OpenCode-only,200,codex,4,0,4
Harbor OpenCode-only,200,mini-swe-agent,0,0,18
Harbor OpenCode-only,200,opencode,0,4,0
Harbor OpenCode-only,300,claude-code,1,9,1
Harbor OpenCode-only,300,codex,1,0,2
Harbor OpenCode-only,300,mini-swe-agent,0,0,12
Harbor OpenCode-only,300,opencode,0,12,0
Harbor OpenCode-only,400,claude-code,0,7,0
Harbor OpenCode-only,400,codex,2,0,3
Harbor OpenCode-only,400,mini-swe-agent,1,0,9
Harbor OpenCode-only,400,opencode,0,4,0
Harbor OpenCode-only,500,claude-code,2,7,0
Harbor OpenCode-only,500,codex,4,0,4
Harbor OpenCode-only,500,mini-swe-agent,0,0,9
Harbor OpenCode-only,500,opencode,2,5,0
Harbor OpenCode-only,600,claude-code,1,5,0
Harbor OpenCode-only,600,codex,3,0,3
Harbor OpenCode-only,600,mini-swe-agent,0,0,10
Harbor OpenCode-only,600,opencode,1,4,0
Harbor OpenCode-only,700,claude-code,4,2,0
Harbor OpenCode-only,700,codex,2,0,3
Harbor OpenCode-only,700,mini-swe-agent,1,0,35
Harbor OpenCode-only,700,opencode,0,5,0
Harbor OpenCode-only,800,claude-code,5,4,0
Harbor OpenCode-only,800,codex,3,0,4
Harbor OpenCode-only,800,mini-swe-agent,1,0,69
Harbor OpenCode-only,800,opencode,27,1,0
Harbor OpenCode-only,900,claude-code,2,11,0
Harbor OpenCode-only,900,codex,1,0,1
Harbor OpenCode-only,900,mini-swe-agent,1,0,87
Harbor OpenCode-only,900,opencode,7,33,0
Harbor OpenCode-only,1000,claude-code,2,11,0
Harbor OpenCode-only,1000,codex,5,1,4
Harbor OpenCode-only,1000,mini-swe-agent,0,0,57
Harbor OpenCode-only,1000,opencode,2,13,0
Harbor multi-harness,0,claude-code,4,8,54
Harbor multi-harness,0,codex,1,0,28
Harbor multi-harness,0,mini-swe-agent,0,0,44
Harbor multi-harness,0,opencode,0,2,3
Harbor multi-harness,100,claude-code,8,12,102
Harbor multi-harness,100,codex,0,0,64
Harbor multi-harness,100,mini-swe-agent,0,0,14
Harbor multi-harness,100,opencode,1,8,15
Harbor multi-harness,200,claude-code,12,9,107
Harbor multi-harness,200,codex,0,0,71
Harbor multi-harness,200,mini-swe-agent,0,0,6
Harbor multi-harness,200,opencode,0,5,22
Harbor multi-harness,300,claude-code,7,12,85
Harbor multi-harness,300,codex,0,0,58
Harbor multi-harness,300,mini-swe-agent,0,0,5
Harbor multi-harness,300,opencode,0,0,6
Harbor multi-harness,400,claude-code,7,11,93
Harbor multi-harness,400,codex,0,0,52
Harbor multi-harness,400,mini-swe-agent,0,0,18
Harbor multi-harness,400,opencode,1,8,12
Harbor multi-harness,500,claude-code,5,12,85
Harbor multi-harness,500,codex,1,0,62
Harbor multi-harness,500,mini-swe-agent,0,0,13
Harbor multi-harness,500,opencode,3,8,26
Harbor multi-harness,600,claude-code,5,13,91
Harbor multi-harness,600,codex,7,0,104
Harbor multi-harness,600,mini-swe-agent,0,0,43
Harbor multi-harness,600,opencode,15,7,46
Harbor multi-harness,684,claude-code,6,21,73
Harbor multi-harness,684,codex,7,0,89
Harbor multi-harness,684,mini-swe-agent,0,0,43
Harbor multi-harness,684,opencode,16,7,28
Harbor multi-harness,700,claude-code,12,24,79
Harbor multi-harness,700,codex,3,0,69
Harbor multi-harness,700,mini-swe-agent,0,0,59
Harbor multi-harness,700,opencode,11,10,17
Harbor multi-harness,800,claude-code,16,30,90
Harbor multi-harness,800,codex,35,0,149
Harbor multi-harness,800,mini-swe-agent,1,0,24
Harbor multi-harness,800,opencode,30,9,45
Harbor multi-harness,900,claude-code,132,27,0
Harbor multi-harness,900,codex,201,0,203
Harbor multi-harness,900,mini-swe-agent,47,0,108
Harbor multi-harness,900,opencode,226,0,0
Harbor multi-harness,1000,claude-code,132,25,0
Harbor multi-harness,1000,codex,162,0,162
Harbor multi-harness,1000,mini-swe-agent,58,0,107
Harbor multi-harness,1000,opencode,204,1,0
Native OpenCode,0,claude-code,2,9,33
Native OpenCode,0,codex,4,0,25
Native OpenCode,0,mini-swe-agent,1,0,48
Native OpenCode,0,opencode,0,3,7
Native OpenCode,100,claude-code,0,2,0
Native OpenCode,100,codex,2,0,3
Native OpenCode,100,mini-swe-agent,0,0,36
Native OpenCode,100,opencode,0,2,0
Native OpenCode,200,claude-code,6,4,0
Native OpenCode,200,codex,4,0,7
Native OpenCode,200,mini-swe-agent,0,0,54
Native OpenCode,200,opencode,0,3,0
Native OpenCode,300,claude-code,1,2,0
Native OpenCode,300,codex,1,0,3
Native OpenCode,300,mini-swe-agent,1,0,58
Native OpenCode,300,opencode,0,0,0
Native OpenCode,400,claude-code,4,1,0
Native OpenCode,400,codex,1,0,1
Native OpenCode,400,mini-swe-agent,0,0,82
Native OpenCode,400,opencode,0,1,0
Native OpenCode,500,claude-code,3,3,0
Native OpenCode,500,codex,1,0,4
Native OpenCode,500,mini-swe-agent,2,0,123
Native OpenCode,500,opencode,0,0,0
Native OpenCode,600,claude-code,2,4,0
Native OpenCode,600,codex,1,0,4
Native OpenCode,600,mini-swe-agent,1,0,175
Native OpenCode,600,opencode,1,1,0
Native OpenCode,700,claude-code,2,5,0
Native OpenCode,700,codex,0,0,2
Native OpenCode,700,mini-swe-agent,0,0,117
Native OpenCode,700,opencode,0,0,0
Native OpenCode,800,claude-code,4,2,0
Native OpenCode,800,codex,1,0,1
Native OpenCode,800,mini-swe-agent,0,0,94
Native OpenCode,800,opencode,0,1,0
Native OpenCode,900,claude-code,6,4,0
Native OpenCode,900,codex,1,0,1
Native OpenCode,900,mini-swe-agent,0,0,109
Native OpenCode,900,opencode,0,0,0
Native OpenCode,1000,claude-code,1,7,0
Native OpenCode,1000,codex,0,0,0
Native OpenCode,1000,mini-swe-agent,0,0,117
Native OpenCode,1000,opencode,0,0,0
