run,step,score,supervised_tokens,forwarded_tokens
Harbor multi-harness,0,0.146,0.0,0.0
Harbor multi-harness,100,0.248,2341485.0,187688023.0
Harbor multi-harness,200,0.263,3751080.0,288770381.0
Harbor multi-harness,300,0.286,5083236.0,389874360.0
Harbor multi-harness,400,0.333,6392092.0,474480006.0
Harbor multi-harness,500,0.37,8194853.0,564646274.0
Harbor multi-harness,600,0.318,9879725.0,650324146.0
Harbor multi-harness,684,0.321,11257452.0,722450575.0
Harbor multi-harness,700,0.288,11548209.0,736700946.0
Harbor multi-harness,800,0.27,13319433.0,824426929.0
Harbor multi-harness,900,0.227,17550674.0,922803659.0
Harbor multi-harness,1000,0.263,22148436.0,1001322856.0
Native OpenCode,0,0.159,0.0,0.0
Native OpenCode,100,0.197,412431.0,28972901.0
Native OpenCode,200,0.221,951366.0,59911629.0
Native OpenCode,300,0.216,1695366.0,83719905.0
Native OpenCode,400,0.264,2489783.0,98136103.0
Native OpenCode,500,0.231,3086548.0,111429542.0
Native OpenCode,600,0.251,3534140.0,131234844.0
Native OpenCode,700,0.232,3982021.0,146777166.0
Native OpenCode,800,0.256,4421519.0,162968313.0
Native OpenCode,900,0.253,4895255.0,185471906.0
Native OpenCode,1000,0.298,5327227.0,228413083.0
Harbor OpenCode-only,0,0.146,0.0,0.0
Harbor OpenCode-only,100,0.245,900139.0,22391797.0
Harbor OpenCode-only,200,0.271,4248088.0,61601074.0
Harbor OpenCode-only,300,0.285,6397309.0,94738314.0
Harbor OpenCode-only,400,0.328,7451497.0,121807354.0
Harbor OpenCode-only,500,0.33,8682354.0,154599334.0
Harbor OpenCode-only,600,0.33,9761777.0,187407303.0
Harbor OpenCode-only,700,0.395,10653106.0,231011537.0
Harbor OpenCode-only,800,0.331,11935793.0,293584910.0
Harbor OpenCode-only,900,0.296,13158260.0,356542913.0
Harbor OpenCode-only,1000,0.264,14625038.0,419428466.0
