run,step,solved_by_any,solved_by_all,solved_by_none,oracle_any_rate
Harbor OpenCode-only,0,76,7,174,0.304
Harbor OpenCode-only,100,114,20,136,0.456
Harbor OpenCode-only,200,116,24,134,0.464
Harbor OpenCode-only,300,113,31,137,0.452
Harbor OpenCode-only,400,130,40,120,0.52
Harbor OpenCode-only,500,121,40,129,0.484
Harbor OpenCode-only,600,123,35,127,0.492
Harbor OpenCode-only,700,149,50,101,0.596
Harbor OpenCode-only,800,141,25,109,0.564
Harbor OpenCode-only,900,128,24,122,0.512
Harbor OpenCode-only,1000,119,26,131,0.476
Harbor multi-harness,0,76,7,174,0.304
Harbor multi-harness,100,117,17,133,0.468
Harbor multi-harness,200,129,16,121,0.516
Harbor multi-harness,300,127,21,123,0.508
Harbor multi-harness,400,127,35,123,0.508
Harbor multi-harness,500,141,45,109,0.564
Harbor multi-harness,600,124,35,126,0.496
Harbor multi-harness,684,124,32,126,0.496
Harbor multi-harness,700,122,24,128,0.488
Harbor multi-harness,800,107,25,143,0.428
Harbor multi-harness,900,117,1,133,0.468
Harbor multi-harness,1000,129,7,121,0.516
Native OpenCode,0,95,3,155,0.38
Native OpenCode,100,97,13,153,0.388
Native OpenCode,200,99,19,151,0.396
Native OpenCode,300,103,15,147,0.412
Native OpenCode,400,120,21,130,0.48
Native OpenCode,500,109,13,141,0.436
Native OpenCode,600,116,17,134,0.464
Native OpenCode,700,111,18,139,0.444
Native OpenCode,800,122,11,128,0.488
Native OpenCode,900,128,11,122,0.512
Native OpenCode,1000,134,25,116,0.536
