run,step,cells,score,model_calls,tool_calls,tool_calls_median,tool_calls_p90,repeats,repeat_fraction,repeat_rollout_fraction,short_tool_fraction,budget_fraction,python_fraction,answer_path_fraction,tool_error_text_fraction,submission_fraction,submission_observations,trainable_tokens,wall_s,retry_cells,training_rows,packed_tokens
Harbor OpenCode-only,0,1000,0.146,14.149,13.264,16.0,18.0,0.522,0.03575284067129578,0.285,0.066,0.602,0.779,0.38,0.618,0.4011627906976744,344,2721.986,273.92238000000003,11,4.122,143490.928
Harbor OpenCode-only,100,1000,0.245,15.747,16.131,17.0,18.0,2.457,0.1476399107830088,0.62,0.0,0.82,0.967,0.537,0.714,0.5261627906976745,344,3049.281,266.45046,16,4.983,177707.37
Harbor OpenCode-only,200,1000,0.271,16.046,16.63,17.0,19.0,1.699,0.10171712437576555,0.561,0.001,0.836,0.955,0.474,0.712,0.5174418604651163,344,3439.912,276.93613,8,5.109,182544.215
Harbor OpenCode-only,300,1000,0.285,16.205,17.998,17.0,21.0,1.634,0.09349848499143593,0.56,0.003,0.864,0.972,0.421,0.699,0.44476744186046513,344,3382.215,293.72954,4,5.147,190025.617
Harbor OpenCode-only,400,1000,0.328,16.162,18.168,18.0,21.0,2.026,0.10955959418379882,0.597,0.002,0.862,0.982,0.492,0.669,0.5261627906976745,344,2927.045,276.08891,5,5.24,184854.492
Harbor OpenCode-only,500,1000,0.33,15.947,16.714,17.0,19.0,1.567,0.09457921511064785,0.521,0.002,0.822,0.991,0.494,0.685,0.5174418604651163,344,3410.234,291.9687,5,5.127,181689.72
Harbor OpenCode-only,600,1000,0.33,15.815,16.986,17.0,20.0,2.063,0.12061561433857773,0.585,0.0,0.785,0.973,0.548,0.629,0.561046511627907,344,2640.898,275.99777,1,5.217,183274.1
Harbor OpenCode-only,700,1000,0.395,14.451,16.62,17.0,22.0,2.092,0.12056283788646273,0.628,0.001,0.564,0.985,0.642,0.645,0.688953488372093,344,2909.286,276.39668,4,5.615,186714.849
Harbor OpenCode-only,800,1000,0.331,13.89,13.97,16.0,18.0,1.075,0.0798111487259394,0.55,0.011,0.513,0.925,0.575,0.602,0.6162790697674418,344,3265.515,272.20868,20,6.168,194153.262
Harbor OpenCode-only,900,1000,0.296,14.627,16.314,17.0,22.0,1.886,0.12036157527128212,0.68,0.001,0.612,0.927,0.549,0.649,0.4622093023255814,344,3135.778,293.36412,3,6.119,205588.621
