run,step,harness,tool_call_bin,cells,score
Harbor OpenCode-only,0,claude-code,0–2,8,0.25
Harbor OpenCode-only,0,claude-code,3–8,63,0.42857142857142855
Harbor OpenCode-only,0,claude-code,9–16,82,0.13414634146341464
Harbor OpenCode-only,0,claude-code,17–24,97,0.020618556701030927
Harbor OpenCode-only,0,codex,0–2,20,0.2
Harbor OpenCode-only,0,codex,3–8,33,0.48484848484848486
Harbor OpenCode-only,0,codex,9–16,54,0.24074074074074073
Harbor OpenCode-only,0,codex,17–24,137,0.058394160583941604
Harbor OpenCode-only,0,codex,25+,6,0.0
Harbor OpenCode-only,0,mini-swe-agent,0–2,10,0.2
Harbor OpenCode-only,0,mini-swe-agent,3–8,3,0.3333333333333333
Harbor OpenCode-only,0,mini-swe-agent,9–16,68,0.4411764705882353
Harbor OpenCode-only,0,mini-swe-agent,17–24,169,0.01775147928994083
Harbor OpenCode-only,0,opencode,0–2,28,0.14285714285714285
Harbor OpenCode-only,0,opencode,3–8,66,0.19696969696969696
Harbor OpenCode-only,0,opencode,9–16,112,0.08035714285714286
Harbor OpenCode-only,0,opencode,17–24,44,0.022727272727272728
Harbor OpenCode-only,100,claude-code,3–8,22,0.5454545454545454
Harbor OpenCode-only,100,claude-code,9–16,45,0.28888888888888886
Harbor OpenCode-only,100,claude-code,17–24,178,0.21348314606741572
Harbor OpenCode-only,100,claude-code,25+,5,0.0
Harbor OpenCode-only,100,codex,3–8,25,0.56
Harbor OpenCode-only,100,codex,9–16,26,0.5384615384615384
Harbor OpenCode-only,100,codex,17–24,189,0.24867724867724866
Harbor OpenCode-only,100,codex,25+,10,0.1
Harbor OpenCode-only,100,mini-swe-agent,3–8,21,0.7619047619047619
Harbor OpenCode-only,100,mini-swe-agent,9–16,67,0.3880597014925373
Harbor OpenCode-only,100,mini-swe-agent,17–24,162,0.05555555555555555
Harbor OpenCode-only,100,opencode,3–8,1,0.0
Harbor OpenCode-only,100,opencode,9–16,36,0.2222222222222222
Harbor OpenCode-only,100,opencode,17–24,213,0.22065727699530516
Harbor OpenCode-only,200,claude-code,0–2,1,0.0
Harbor OpenCode-only,200,claude-code,3–8,17,0.4117647058823529
Harbor OpenCode-only,200,claude-code,9–16,44,0.5227272727272727
Harbor OpenCode-only,200,claude-code,17–24,184,0.22282608695652173
Harbor OpenCode-only,200,claude-code,25+,4,0.0
Harbor OpenCode-only,200,codex,3–8,6,0.8333333333333334
Harbor OpenCode-only,200,codex,9–16,40,0.725
Harbor OpenCode-only,200,codex,17–24,197,0.2182741116751269
Harbor OpenCode-only,200,codex,25+,7,0.0
Harbor OpenCode-only,200,mini-swe-agent,3–8,9,0.8888888888888888
Harbor OpenCode-only,200,mini-swe-agent,9–16,57,0.49122807017543857
Harbor OpenCode-only,200,mini-swe-agent,17–24,184,0.07608695652173914
Harbor OpenCode-only,200,opencode,3–8,2,0.0
Harbor OpenCode-only,200,opencode,9–16,8,0.5
Harbor OpenCode-only,200,opencode,17–24,240,0.2875
Harbor OpenCode-only,300,claude-code,0–2,3,0.0
Harbor OpenCode-only,300,claude-code,3–8,9,0.3333333333333333
Harbor OpenCode-only,300,claude-code,9–16,34,0.5882352941176471
Harbor OpenCode-only,300,claude-code,17–24,198,0.2676767676767677
Harbor OpenCode-only,300,claude-code,25+,6,0.0
Harbor OpenCode-only,300,codex,3–8,5,0.8
Harbor OpenCode-only,300,codex,9–16,27,0.5925925925925926
Harbor OpenCode-only,300,codex,17–24,209,0.2822966507177033
Harbor OpenCode-only,300,codex,25+,9,0.1111111111111111
Harbor OpenCode-only,300,mini-swe-agent,3–8,4,0.75
Harbor OpenCode-only,300,mini-swe-agent,9–16,52,0.7692307692307693
Harbor OpenCode-only,300,mini-swe-agent,17–24,194,0.08247422680412371
Harbor OpenCode-only,300,opencode,3–8,3,0.0
Harbor OpenCode-only,300,opencode,9–16,7,0.14285714285714285
Harbor OpenCode-only,300,opencode,17–24,219,0.3059360730593607
Harbor OpenCode-only,300,opencode,25+,21,0.09523809523809523
Harbor OpenCode-only,400,claude-code,0–2,2,0.0
Harbor OpenCode-only,400,claude-code,3–8,10,0.5
Harbor OpenCode-only,400,claude-code,9–16,25,0.56
Harbor OpenCode-only,400,claude-code,17–24,204,0.3137254901960784
Harbor OpenCode-only,400,claude-code,25+,9,0.1111111111111111
Harbor OpenCode-only,400,codex,3–8,5,0.8
Harbor OpenCode-only,400,codex,9–16,33,0.5454545454545454
Harbor OpenCode-only,400,codex,17–24,190,0.32105263157894737
Harbor OpenCode-only,400,codex,25+,22,0.0
Harbor OpenCode-only,400,mini-swe-agent,3–8,7,0.7142857142857143
