run,harness,window_end,admitted_rollouts,unique_tasks,binary_reward_mean,completion_tokens_mean,completion_tokens_median,completion_tokens_p90,supervised_tokens,completion_tokens,text_only_turn_tokens,agent_turns_mean,tool_calls_mean,tool_calls_p90,exact_repeated_calls_mean,rollout_over4096_fraction,rollout_finish_length_fraction,training_rows,receipt_token_mismatches,text_only_turn_token_share,rows_per_rollout
Harbor OpenCode-only,opencode,100,414,53,0.4613526570048309,2174.2487922705313,976.0,4195.299999999999,900139,900139,2772,14.152173913043478,14.577294685990339,17.0,6.584541062801932,0.033816425120772944,0.0,881,0,0.0030795243845672723,2.1280193236714977
Harbor OpenCode-only,opencode,200,432,55,0.22916666666666666,7749.881944444444,2538.0,20144.0,3347949,3347949,16657,13.5,14.974537037037036,18.0,2.3518518518518516,0.2569444444444444,0.0023148148148148147,1101,0,0.004975284868437363,2.548611111111111
Harbor OpenCode-only,opencode,300,410,52,0.36097560975609755,5242.002439024391,2272.0,11004.000000000018,2149221,2149221,17393,14.234146341463415,15.75609756097561,18.0,2.292682926829268,0.0951219512195122,0.0024390243902439024,1077,0,0.008092699633960398,2.626829268292683
Harbor OpenCode-only,opencode,400,409,52,0.3154034229828851,2577.4767726161367,2011.0,4439.8,1054188,1054188,242,14.71393643031785,18.760391198044008,21.0,3.4376528117359415,0.007334963325183374,0.0,977,0,0.00022956057173862727,2.388753056234719
Harbor OpenCode-only,opencode,500,415,54,0.4578313253012048,2965.9204819277106,1964.0,5172.6,1230857,1230857,352,14.573493975903615,16.896385542168673,19.0,2.746987951807229,0.043373493975903614,0.0,1144,0,0.00028597960607934145,2.756626506024096
Harbor OpenCode-only,opencode,600,403,53,0.45161290322580644,2678.468982630273,2078.0,4732.8,1079423,1079423,653,14.468982630272953,16.523573200992555,18.0,2.967741935483871,0.004962779156327543,0.0,1061,0,0.0006049528312811567,2.632754342431762
Harbor OpenCode-only,opencode,700,420,55,0.46190476190476193,2122.211904761905,1552.0,3914.3000000000006,891329,891329,27894,11.7,14.633333333333333,19.0,3.8214285714285716,0.011904761904761904,0.002380952380952381,1470,0,0.031294841747547764,3.5
Harbor OpenCode-only,opencode,800,400,51,0.4625,3206.7175,1945.5,6440.900000000001,1282687,1282687,177689,10.455,15.2775,20.0,5.415,0.0725,0.015,1767,0,0.13852872914436648,4.4175
Harbor OpenCode-only,opencode,900,412,54,0.44660194174757284,2967.152912621359,1510.0,6343.600000000004,1222467,1222467,144773,10.094660194174757,12.672330097087379,19.0,2.0679611650485437,0.05825242718446602,0.014563106796116505,1755,0,0.11842691868164948,4.259708737864078
Harbor OpenCode-only,opencode,1000,404,51,0.3935643564356436,3630.638613861386,2102.0,5953.799999999999,1466778,1466778,75528,11.487623762376238,17.43069306930693,25.0,3.027227722772277,0.06435643564356436,0.0049504950495049506,1566,0,0.05149245489092419,3.876237623762376
Harbor multi-harness,claude-code,100,82,10,0.2682926829268293,2714.890243902439,2291.5,5157.500000000001,222621,222621,1073,13.365853658536585,13.536585365853659,17.0,3.6707317073170733,0.0,0.0,1096,0,0.004819850777779275,13.365853658536585
Harbor multi-harness,claude-code,200,130,17,0.3153846153846154,4026.346153846154,2943.5,8447.000000000004,523425,523425,263,15.107692307692307,15.215384615384615,17.0,4.076923076923077,0.015384615384615385,0.0,1964,0,0.0005024597602330802,15.107692307692307
Harbor multi-harness,claude-code,300,140,18,0.37857142857142856,3982.5714285714284,3335.5,6859.6,557560,557560,16421,16.735714285714284,16.785714285714285,17.0,4.55,0.02142857142857143,0.007142857142857143,2343,0,0.029451538847837005,16.735714285714284
Harbor multi-harness,claude-code,400,136,17,0.5220588235294118,3549.404411764706,2332.5,6253.5,482719,482719,16675,16.566176470588236,16.625,17.0,5.117647058823529,0.029411764705882353,0.007352941176470588,2253,0,0.03454390649632602,16.566176470588236
Harbor multi-harness,claude-code,500,120,15,0.2916666666666667,5923.533333333334,5641.5,9395.4,710824,710824,16384,16.933333333333334,17.216666666666665,18.0,3.4166666666666665,0.008333333333333333,0.008333333333333333,2032,0,0.023049306157361036,16.933333333333334
Harbor multi-harness,claude-code,600,128,16,0.40625,4824.53125,4213.5,8859.8,617540,617540,101,15.296875,15.390625,17.0,4.6328125,0.0234375,0.0,1958,0,0.00016355215856462738,15.296875
Harbor multi-harness,claude-code,700,134,17,0.5,4083.1492537313434,2715.0,7031.500000000001,547142,547142,33063,15.171641791044776,15.514925373134329,17.0,5.485074626865671,0.04477611940298507,0.014925373134328358,2033,0,0.06042855419616845,15.171641791044776
Harbor multi-harness,claude-code,800,128,16,0.3984375,4690.1484375,3595.5,8415.399999999998,600339,600339,855,16.703125,16.765625,17.0,5.9765625,0.0546875,0.0,2138,0,0.001424195329638754,16.703125
Harbor multi-harness,claude-code,900,126,16,0.38095238095238093,10933.753968253968,8429.0,21573.0,1377653,1377653,66336,16.333333333333332,16.444444444444443,17.0,4.73015873015873,0.2857142857142857,0.031746031746031744,2058,0,0.04815145758765088,16.333333333333332
