run,window_end,binary_reward,admitted_rollouts,unique_tasks,binary_reward_mean,completion_tokens_mean,completion_tokens_median,completion_tokens_p90,supervised_tokens,completion_tokens,text_only_turn_tokens,agent_turns_mean,tool_calls_mean,tool_calls_p90,exact_repeated_calls_mean,rollout_over4096_fraction,rollout_finish_length_fraction,training_rows,receipt_token_mismatches,text_only_turn_token_share,rows_per_rollout
Harbor OpenCode-only,100,0.0,223,45,0.0,3094.9910313901346,1346.0,5601.000000000005,690183,690183,1850,14.094170403587444,14.582959641255606,17.0,4.7174887892376685,0.053811659192825115,0.0,481,0,0.002680448518726193,2.1569506726457397
Harbor OpenCode-only,100,1.0,191,38,1.0,1099.2460732984293,888.0,1181.0,209956,209956,922,14.219895287958115,14.570680628272251,17.0,8.764397905759163,0.010471204188481676,0.0,400,0,0.004391396292556536,2.094240837696335
Harbor OpenCode-only,200,0.0,333,53,0.0,8297.465465465466,2808.0,20519.6,2763056,2763056,16533,12.867867867867869,14.414414414414415,18.0,1.8198198198198199,0.2732732732732733,0.003003003003003003,832,0,0.005983592080652727,2.4984984984984986
Harbor OpenCode-only,200,1.0,99,26,1.0,5908.010101010101,1394.0,18226.8,584893,584893,124,15.626262626262626,16.858585858585858,18.0,4.141414141414141,0.20202020202020202,0.0,269,0,0.00021200458887352046,2.717171717171717
Harbor OpenCode-only,300,0.0,262,44,0.0,6887.614503816794,3353.5,17885.4,1804555,1804555,17094,13.606870229007633,15.229007633587786,18.0,1.4312977099236641,0.12595419847328243,0.003816793893129771,700,0,0.009472695484482324,2.6717557251908395
Harbor OpenCode-only,300,1.0,148,32,1.0,2328.824324324324,1459.0,3045.500000000002,344666,344666,299,15.344594594594595,16.68918918918919,18.0,3.8175675675675675,0.04054054054054054,0.0,377,0,0.0008675065135522506,2.5472972972972974
Harbor OpenCode-only,400,0.0,280,48,0.0,2983.432142857143,2451.0,4738.0999999999985,835361,835361,175,14.553571428571429,19.060714285714287,22.0,3.0892857142857144,0.010714285714285714,0.0,649,0,0.000209490268279223,2.317857142857143
Harbor OpenCode-only,400,1.0,129,32,1.0,1696.3333333333333,1449.0,2663.600000000001,218827,218827,67,15.062015503875969,18.108527131782946,20.0,4.1937984496124034,0.0,0.0,328,0,0.0003061779396509572,2.5426356589147288
Harbor OpenCode-only,500,0.0,225,43,0.0,3079.8933333333334,2464.0,5218.0,692976,692976,163,13.955555555555556,16.493333333333332,19.0,1.991111111111111,0.03111111111111111,0.0,601,0,0.00023521738126572927,2.671111111111111
Harbor OpenCode-only,500,1.0,190,34,1.0,2830.952631578947,1759.0,4324.199999999999,537881,537881,189,15.305263157894737,17.373684210526317,19.0,3.642105263157895,0.05789473684210526,0.0,543,0,0.0003513788365828129,2.857894736842105
Harbor OpenCode-only,600,0.0,221,43,0.0,3396.9366515837105,3017.0,5509.0,750723,750723,186,14.04524886877828,16.29864253393665,18.0,1.4434389140271493,0.00904977375565611,0.0,594,0,0.0002477611582434533,2.6877828054298645
Harbor OpenCode-only,600,1.0,182,34,1.0,1806.043956043956,1615.5,2775.2000000000003,328700,328700,467,14.983516483516484,16.796703296703296,18.0,4.818681318681318,0.0,0.0,467,0,0.0014207484027989048,2.565934065934066
Harbor OpenCode-only,700,0.0,226,46,0.0,2648.2433628318586,1924.5,5291.5,598503,598503,20850,10.641592920353983,13.929203539823009,20.0,2.256637168141593,0.017699115044247787,0.004424778761061947,939,0,0.03483691811068616,4.154867256637168
Harbor OpenCode-only,700,1.0,194,36,1.0,1509.4123711340205,1405.0,2103.3,292826,292826,7044,12.93298969072165,15.45360824742268,18.0,5.644329896907217,0.005154639175257732,0.0,531,0,0.02405524099635961,2.7371134020618557
Harbor OpenCode-only,800,0.0,215,43,0.0,4039.874418604651,2815.0,7427.799999999998,868573,868573,147535,10.604651162790697,15.190697674418605,21.0,4.511627906976744,0.09767441860465116,0.027906976744186046,1124,0,0.16985906768918674,5.227906976744186
Harbor OpenCode-only,800,1.0,185,40,1.0,2238.4540540540543,1620.0,2883.9999999999995,414114,414114,30154,10.281081081081082,15.378378378378379,18.0,6.464864864864865,0.043243243243243246,0.0,643,0,0.0728156980927957,3.4756756756756757
Harbor OpenCode-only,900,0.0,228,50,0.0,3985.8596491228072,2497.5,7192.600000000003,908776,908776,114572,10.609649122807017,13.62280701754386,20.0,1.6973684210526316,0.07894736842105263,0.02631578947368421,1220,0,0.12607287164273703,5.350877192982456
Harbor OpenCode-only,900,1.0,184,36,1.0,1704.8423913043478,1322.0,2079.3000000000015,313691,313691,30201,9.456521739130435,11.494565217391305,14.700000000000017,2.527173913043478,0.03260869565217391,0.0,535,0,0.096276271872639,2.907608695652174
Harbor OpenCode-only,1000,0.0,245,45,0.0,4519.910204081632,3128.0,7891.5999999999985,1107378,1107378,46071,12.346938775510203,18.93469387755102,27.0,2.8285714285714287,0.07346938775510205,0.00816326530612245,1162,0,0.04160368004421255,4.742857142857143
Harbor OpenCode-only,1000,1.0,159,34,1.0,2260.377358490566,1583.0,2885.000000000001,359400,359400,29457,10.163522012578616,15.11320754716981,20.0,3.3333333333333335,0.050314465408805034,0.0,404,0,0.08196160267111853,2.540880503144654
Harbor multi-harness,100,0.0,231,41,0.0,2939.3290043290044,2382.0,6648.0,678985,678985,1104,13.987012987012987,14.017316017316018,17.0,1.4415584415584415,0.0,0.0,994,0,0.0016259563907891927,4.303030303030303
Harbor multi-harness,100,1.0,158,32,1.0,1500.2278481012659,1187.0,2712.3,237036,237036,2407,13.734177215189874,13.575949367088608,17.0,4.563291139240507,0.0,0.0,578,0,0.010154575676268584,3.6582278481012658
Harbor multi-harness,200,0.0,359,59,0.0,3076.016713091922,2368.0,5619.0,1104290,1104290,476,15.309192200557103,15.384401114206128,17.0,2.211699164345404,0.005571030640668524,0.0,1645,0,0.00043104619257622545,4.582172701949861
Harbor multi-harness,200,1.0,161,35,1.0,1896.304347826087,1555.0,3316.0,305305,305305,609,15.701863354037267,15.701863354037267,17.0,6.6894409937888195,0.006211180124223602,0.0,875,0,0.0019947265848905193,5.434782608695652
Harbor multi-harness,300,0.0,356,62,0.0,2811.9438202247193,2210.0,5557.5,1001052,1001052,17102,16.06741573033708,16.098314606741575,17.0,2.938202247191011,0.008426966292134831,0.0028089887640449437,1862,0,0.017084027602961686,5.230337078651686
Harbor multi-harness,300,1.0,158,38,1.0,2073.487341772152,1688.0,3585.6000000000013,327611,327611,212,15.936708860759493,15.943037974683545,17.0,5.765822784810126,0.006329113924050633,0.0,1027,0,0.0006471089188091975,6.5
Harbor multi-harness,400,0.0,313,54,0.0,2777.4376996805113,2148.0,5305.800000000001,869338,869338,310,15.670926517571885,15.696485623003195,17.0,2.670926517571885,0.003194888178913738,0.0,1455,0,0.0003565931777973584,4.6485623003194885
Harbor multi-harness,400,1.0,224,41,1.0,1958.861607142857,1565.5,3077.3000000000006,438785,438785,17052,15.888392857142858,15.866071428571429,17.0,6.799107142857143,0.017857142857142856,0.004464285714285714,1360,0,0.03886185717378671,6.071428571428571
Harbor multi-harness,500,0.0,320,59,0.0,4161.546875,2809.5,8557.500000000002,1331695,1331695,16738,15.89375,15.984375,17.0,2.475,0.01875,0.003125,1823,0,0.01256894409005065,5.696875
Harbor multi-harness,500,1.0,192,40,1.0,2453.46875,1742.0,4418.500000000001,471066,471066,13,15.598958333333334,15.651041666666666,17.0,6.807291666666667,0.020833333333333332,0.0,807,0,2.7596982163858142e-05,4.203125
Harbor multi-harness,600,0.0,286,55,0.0,3893.9685314685316,2718.0,8150.5,1113675,1113675,25339,14.55944055944056,14.594405594405595,17.0,3.2412587412587412,0.024475524475524476,0.0034965034965034965,1442,0,0.022752598379239902,5.041958041958042
Harbor multi-harness,600,1.0,239,51,1.0,2389.945606694561,1957.0,4490.200000000001,571197,571197,147,14.623430962343097,14.619246861924687,17.0,5.539748953974895,0.016736401673640166,0.0,1141,0,0.0002573542928271682,4.7740585774058575
Harbor multi-harness,700,0.0,291,59,0.0,4066.979381443299,2837.0,7120.0,1183491,1183491,89227,14.353951890034365,14.426116838487973,17.0,3.5463917525773194,0.05154639175257732,0.01718213058419244,1271,0,0.07539305326360742,4.367697594501718
Harbor multi-harness,700,1.0,224,41,1.0,2165.1473214285716,1920.0,3744.5000000000005,484993,484993,251,14.303571428571429,14.415178571428571,17.0,5.397321428571429,0.013392857142857142,0.0,1338,0,0.0005175332427478335,5.973214285714286
