run,window_end,admitted_rollouts,unique_tasks,binary_reward_mean,completion_tokens_mean,completion_tokens_median,completion_tokens_p90,supervised_tokens,completion_tokens,text_only_turn_tokens,agent_turns_mean,tool_calls_mean,tool_calls_p90,exact_repeated_calls_mean,rollout_over4096_fraction,rollout_finish_length_fraction,training_rows,receipt_token_mismatches,text_only_turn_token_share,rows_per_rollout
Harbor OpenCode-only,100,414,53,0.4613526570048309,2174.2487922705313,976.0,4195.299999999999,900139,900139,2772,14.152173913043478,14.577294685990339,17.0,6.584541062801932,0.033816425120772944,0.0,881,0,0.0030795243845672723,2.1280193236714977
Harbor OpenCode-only,200,432,55,0.22916666666666666,7749.881944444444,2538.0,20144.0,3347949,3347949,16657,13.5,14.974537037037036,18.0,2.3518518518518516,0.2569444444444444,0.0023148148148148147,1101,0,0.004975284868437363,2.548611111111111
Harbor OpenCode-only,300,410,52,0.36097560975609755,5242.002439024391,2272.0,11004.000000000018,2149221,2149221,17393,14.234146341463415,15.75609756097561,18.0,2.292682926829268,0.0951219512195122,0.0024390243902439024,1077,0,0.008092699633960398,2.626829268292683
Harbor OpenCode-only,400,409,52,0.3154034229828851,2577.4767726161367,2011.0,4439.8,1054188,1054188,242,14.71393643031785,18.760391198044008,21.0,3.4376528117359415,0.007334963325183374,0.0,977,0,0.00022956057173862727,2.388753056234719
Harbor OpenCode-only,500,415,54,0.4578313253012048,2965.9204819277106,1964.0,5172.6,1230857,1230857,352,14.573493975903615,16.896385542168673,19.0,2.746987951807229,0.043373493975903614,0.0,1144,0,0.00028597960607934145,2.756626506024096
Harbor OpenCode-only,600,403,53,0.45161290322580644,2678.468982630273,2078.0,4732.8,1079423,1079423,653,14.468982630272953,16.523573200992555,18.0,2.967741935483871,0.004962779156327543,0.0,1061,0,0.0006049528312811567,2.632754342431762
Harbor OpenCode-only,700,420,55,0.46190476190476193,2122.211904761905,1552.0,3914.3000000000006,891329,891329,27894,11.7,14.633333333333333,19.0,3.8214285714285716,0.011904761904761904,0.002380952380952381,1470,0,0.031294841747547764,3.5
Harbor OpenCode-only,800,400,51,0.4625,3206.7175,1945.5,6440.900000000001,1282687,1282687,177689,10.455,15.2775,20.0,5.415,0.0725,0.015,1767,0,0.13852872914436648,4.4175
Harbor OpenCode-only,900,412,54,0.44660194174757284,2967.152912621359,1510.0,6343.600000000004,1222467,1222467,144773,10.094660194174757,12.672330097087379,19.0,2.0679611650485437,0.05825242718446602,0.014563106796116505,1755,0,0.11842691868164948,4.259708737864078
Harbor OpenCode-only,1000,404,51,0.3935643564356436,3630.638613861386,2102.0,5953.799999999999,1466778,1466778,75528,11.487623762376238,17.43069306930693,25.0,3.027227722772277,0.06435643564356436,0.0049504950495049506,1566,0,0.05149245489092419,3.876237623762376
Harbor multi-harness,100,392,44,0.40616966580976865,2351.8239795918366,1865.5,4838.400000000001,921915,921915,3511,13.89030612244898,13.84438775510204,17.0,2.704081632653061,0.0,0.0,1576,0,0.003808377128043258,4.020408163265306
Harbor multi-harness,200,520,64,0.3096153846153846,2710.7596153846152,2055.0,5254.500000000002,1409595,1409595,1085,15.430769230769231,15.482692307692307,17.0,3.598076923076923,0.0057692307692307696,0.0,2520,0,0.0007697246372184918,4.846153846153846
Harbor multi-harness,300,516,65,0.30739299610894943,2581.6976744186045,2040.0,4958.0,1332156,1332156,17314,16.017441860465116,16.040697674418606,17.0,3.804263565891473,0.007751937984496124,0.001937984496124031,2893,0,0.012996976330099478,5.6065891472868215
Harbor multi-harness,400,538,68,0.4171322160148976,2432.817843866171,1798.5,4695.3,1308856,1308856,17362,15.754646840148698,15.760223048327138,17.0,4.386617100371748,0.00929368029739777,0.0018587360594795538,2816,0,0.013265019222893887,5.234200743494424
Harbor multi-harness,500,512,65,0.375,3521.017578125,2359.0,7624.7000000000035,1802761,1802761,16751,15.783203125,15.859375,17.0,4.099609375,0.01953125,0.001953125,2630,0,0.009291858432704058,5.13671875
Harbor multi-harness,600,525,66,0.4552380952380952,3209.28,2222.0,6944.000000000001,1684872,1684872,25486,14.588571428571429,14.605714285714285,17.0,4.287619047619048,0.02095238095238095,0.0019047619047619048,2583,0,0.015126371617547209,4.92
Harbor multi-harness,700,515,66,0.4349514563106796,3239.7747572815533,2412.0,5951.200000000001,1668484,1668484,89478,14.332038834951456,14.421359223300971,17.0,4.351456310679612,0.03495145631067961,0.009708737864077669,2609,0,0.053628323675863836,5.0660194174757285
Harbor multi-harness,800,523,67,0.3862332695984704,3386.661567877629,2495.0,6157.000000000001,1771224,1771224,20675,14.202676864244742,14.1434034416826,17.0,4.170172084130019,0.04206500956022945,0.0019120458891013384,2759,0,0.011672718978514292,5.275334608030593
Harbor multi-harness,900,487,62,0.39014373716632444,8688.379876796715,6081.0,18372.4,4231241,4231241,401580,13.64271047227926,13.640657084188911,17.0,3.817248459958932,0.29774127310061604,0.04106776180698152,2585,0,0.09490832594976273,5.308008213552362
Harbor multi-harness,1000,485,64,0.3938144329896907,9479.921649484537,6776.0,19807.000000000007,4597762,4597762,571094,11.455670103092784,11.239175257731958,17.0,4.202061855670103,0.3752577319587629,0.030927835051546393,2148,0,0.12421130106343042,4.4288659793814436
Native OpenCode,100,413,52,0.4406779661016949,998.6222760290557,483.0,2787.8,412431,412431,13465,7.142857142857143,6.428571428571429,14.800000000000011,0.22760290556900725,0.002421307506053269,0.0,990,0,0.032647885343245295,2.3970944309927362
Native OpenCode,200,428,55,0.18691588785046728,1259.193925233645,710.5,3299.6,538935,538935,8606,7.822429906542056,7.5046728971962615,15.0,0.2336448598130841,0.0,0.0,809,0,0.015968530527800198,1.8901869158878504
Native OpenCode,300,453,58,0.2853982300884956,1642.3841059602648,1004.0,3866.0,744000,744000,9527,8.754966887417218,8.205298013245033,15.0,0.33774834437086093,0.0,0.0,866,0,0.01280510752688172,1.9116997792494481
Native OpenCode,400,558,71,0.18100358422939067,1423.6863799283153,875.5,3166.5,794417,794417,10555,8.775985663082437,8.0663082437276,15.0,0.20430107526881722,0.0017921146953405018,0.0,1019,0,0.013286472973262154,1.8261648745519714
Native OpenCode,500,521,66,0.2456813819577735,1145.42226487524,743.0,2489.0,596765,596765,7578,8.326295585412668,7.723608445297505,15.0,0.362763915547025,0.0019193857965451055,0.0,997,0,0.012698465895285414,1.9136276391554703
Native OpenCode,600,451,57,0.12195121951219512,992.4434589800444,639.0,2268.0,447592,447592,1366,7.490022172949002,7.006651884700665,13.0,1.252771618625277,0.0,0.0,1200,0,0.0030518865395270695,2.6607538802660753
Native OpenCode,700,425,54,0.30823529411764705,1053.8376470588234,504.0,2649.6000000000026,447881,447881,1134,6.842352941176471,6.061176470588236,13.0,0.2164705882352941,0.002352941176470588,0.0,856,0,0.002531922541925199,2.0141176470588236
Native OpenCode,800,429,54,0.2727272727272727,1024.4708624708624,453.0,2760.1999999999994,439498,439498,1121,6.741258741258742,5.916083916083916,13.0,0.19347319347319347,0.002331002331002331,0.0,832,0,0.002550637318031026,1.9393939393939394
Native OpenCode,900,413,53,0.36561743341404357,1147.0605326876514,508.0,2972.2000000000003,473736,473736,1381,6.7409200968523,5.9491525423728815,13.0,0.07263922518159806,0.002421307506053269,0.0,869,0,0.0029151257240319505,2.1041162227602905
Native OpenCode,1000,402,53,0.19154228855721392,1074.5572139303483,636.5,2226.4000000000005,431972,431972,1588,6.800995024875622,6.052238805970149,13.0,0.24875621890547264,0.0,0.0,1835,0,0.0036761641958275074,4.564676616915423
