run,window_end,reward,reward_std,tools/call_frequency,tools/failure_frequency,rollout/turns_mean,rollout/fork_frac,rollout/samples_per_rollout,completions/mean_length,completions/clipped_ratio,zero_gradient,perf/step_s,perf/fwd_bwd_s,perf/rollout_wait_s,batch/forwarded_tokens_per_step,batch/trained_tokens_per_step,forwarded_per_supervised_token
Harbor OpenCode-only,100,0.4613268398268398,0.2398699027380629,14.713121933621933,0.12279162456462402,14.271011904761904,0.08981528260297379,2.171547619047619,2565.4408452380953,0.0,0.35,72.34649321350504,9.118664061059535,60.09085775610933,22391797.0,900139.0,24.875932494870238
Harbor OpenCode-only,200,0.24554958440252558,0.20753841008734042,15.661243906420378,0.22326203249355886,13.33732993197279,0.1541956229715745,2.571364795918367,8244.417920918368,0.008928571428571428,0.39,126.94011013682001,18.04403841590007,98.18580851653998,39209277.0,3347949.0,11.71143198417897
Harbor OpenCode-only,300,0.3708239815739816,0.19694757694321144,16.069899295149295,0.19153211177615806,14.237745098039216,0.12875551244199257,2.6127450980392157,5064.541666666667,0.007352941176470588,0.39,96.98847900031993,14.141838750521856,78.69381559354166,33137240.0,2149221.0,15.418256196082208
Harbor OpenCode-only,400,0.3105725108225108,0.2271403104089478,19.034032231657232,0.1724393838204193,14.713235294117647,0.1021339224280583,2.394607843137255,2574.9313725490197,0.0,0.33,76.02990748340002,10.865588490648951,62.00304648158941,27069040.0,1054188.0,25.67762106948666
Harbor OpenCode-only,500,0.46779365079365076,0.18029720685931688,17.237106809856808,0.14127172032796412,14.5453197945845,0.12750780485480157,2.7301159352629942,3332.42470821662,0.0024509803921568627,0.48,75.64743303306008,13.32731223725903,57.816416095330354,32791980.0,1230857.0,26.641583872050123
Harbor OpenCode-only,600,0.4499239094239094,0.19571289410877754,16.578901348651346,0.1763313325828645,14.329111458716723,0.12504802676395887,2.660502874318664,3108.048309439099,0.0,0.52,60.88787030558,13.256466008439602,43.034404825770906,32807969.0,1079423.0,30.393987343238006
Harbor OpenCode-only,700,0.4436214711715873,0.2003848720445334,15.192719801408172,0.22907039219006176,11.674995168521955,0.2492364847873423,3.63704745155638,2175.0650726010103,0.002232142857142857,0.43,64.5336026951499,17.211821312580142,43.838990044047826,43604234.0,891329.0,48.920470443573585
Harbor OpenCode-only,800,0.438452406417842,0.2612226987006718,15.826681698851091,0.2192432145564864,10.194886958279815,0.35625899786629783,4.21397018160411,3152.636801442605,0.014668367346938774,0.26,72.59849311632003,25.298051341829705,42.60313191080044,62573373.0,1282687.0,48.783041381100766
Harbor OpenCode-only,900,0.4337144914822021,0.2566402646216497,13.61259492586263,0.22333017742691244,10.406444991789819,0.35978850404867146,4.564449917898194,3654.4251231527096,0.029248768472906403,0.31,70.1935425982601,26.00453474922746,38.00356280478198,62958003.0,1222467.0,51.500779162136894
Harbor OpenCode-only,1000,0.33886414499712514,0.22169366935889592,17.96717597866881,0.14836250005459165,11.04720133667502,0.2651926560421726,3.785609857978279,3874.793149540518,0.004699248120300751,0.34,79.97377342697,26.870135988060063,47.05893725607006,62885553.0,1466778.0,42.87325893898054
Harbor multi-harness,100,0.37215481064105627,0.2817602841205276,14.091755350686729,0.16644353977207949,13.608209208247729,0.27170567711999943,4.371736225174313,2434.2689411490683,0.0,0.17,219.83294780647236,78.68988377495785,160.96184653661913,187688023.0,2341485.0,80.15768753590136
Harbor multi-harness,200,0.33429811481932725,0.2209406219192409,15.786707289453354,0.15555696292824975,15.463118242466068,0.26966753878799526,4.875117897400506,2749.4112031285945,0.0,0.41,94.76055106370606,44.1395378899423,47.15803065143642,101082358.0,1409595.0,71.71021321727163
Harbor multi-harness,300,0.3078947098658278,0.237504531226522,16.205064360533626,0.19417233135332557,16.002894709959925,0.29052063159214797,5.542150281280716,2981.8417820705863,0.0,0.34,89.43567845421029,43.12261901319493,44.12112560480717,101103979.0,1332156.0,75.89499953458905
Harbor multi-harness,400,0.4208965591133613,0.1347151666009812,16.046035668255467,0.16542645323759192,15.65814536340852,0.25465502643949534,4.856035923141186,2405.253268588137,0.0,0.49,91.19121140880044,33.57061344736023,54.94743524379679,84605646.0,1308856.0,64.64091236927516
Harbor multi-harness,500,0.32965815112938374,0.21353757183881694,15.979141145963936,0.20272489386589615,15.858448827292111,0.25258061664179454,4.957356076759062,3658.3221304193316,0.0,0.36,87.1897372502496,36.77998640247155,47.74810984188574,90166268.0,1802761.0,50.01565265722966
Harbor multi-harness,600,0.42514402674199275,0.21481521660147151,14.885919789409268,0.14239050757746663,14.5796066252588,0.28829488482569093,4.903295376121463,3503.119858523119,0.0018115942028985507,0.3,83.39630996603984,34.40547226127121,46.63930073371972,85677872.0,1684872.0,50.8512646658025
Harbor multi-harness,700,0.43366307997193104,0.21850890470961898,14.809511820629087,0.13326109980800552,13.886473014165322,0.2655647788294409,4.441551397320628,3437.0248391352234,0.008974358974358974,0.36,87.71859020842334,35.783885467979125,49.40421284527634,86376800.0,1668484.0,51.76963039501727
Harbor multi-harness,800,0.35281411250347294,0.19344944471574962,14.598113697768602,0.12470995081799482,13.979096924317513,0.25206306693000136,4.7138252270605205,3910.5884460514976,0.001225490196078431,0.39,92.73759917171206,36.07318357932381,52.21698128161486,87725983.0,1771224.0,49.528452076078466
Harbor multi-harness,900,0.35901134931123724,0.2291403835501686,14.18688828568166,0.1429223534360349,13.163304988662132,0.317435083122598,4.824875798804371,9480.489273345702,0.04736394557823129,0.35,115.72125592437573,42.08636902739294,67.09815469327849,98376730.0,4231241.0,23.250089040071224
Harbor multi-harness,1000,0.41036747714576377,0.24216930597349595,12.230913871451857,0.12421673095427341,11.471771610742199,0.31062348236496173,4.37483839689722,10657.320653243816,0.027328431372549016,0.32,125.29679813764058,33.5303732728539,84.98472009332384,78519197.0,4597762.0,17.077699324149446
Native OpenCode,100,0.4384733044733045,0.23678973565545625,6.595128038628038,0.1250655540736819,7.402300692602417,0.2642018642181204,2.435050366300366,1097.8185752705149,0.0,0.34,31.587826412050504,11.618848592969988,18.02173868855992,28972901.0,412431.0,70.24908651386535
