run,window_end,reward,entropy,grad_norm,sample/staleness_mean,sample/staleness_max,tools/call_frequency,tools/failure_frequency,batch/forwarded_tokens_per_step,batch/trained_tokens_per_step,perf/step_s,rollout/samples_per_rollout,completions/mean_length,clip_ratio/region_mean,kl
Harbor OpenCode-only,100,0.4613268398268398,0.09685979937518965,2.667939453125,2.0316666666666667,2.24,14.713121933621933,0.12279162456462402,223917.97,9001.39,72.34649321350504,2.171547619047619,2565.4408452380953,0.004187458868193879,0.005040083591849535
Harbor OpenCode-only,200,0.24554958440252558,0.09733831891737652,1.1925244140625,1.7242142857142857,2.32,15.661243906420378,0.22326203249355886,392092.77,33479.49,126.94011013682001,2.571364795918367,8244.417920918368,0.002383259688850152,0.0030197780759285025
Harbor OpenCode-only,300,0.3708239815739816,0.14049491090903823,1.64328125,1.7858333333333334,2.42,16.069899295149295,0.19153211177615806,331372.4,21492.21,96.98847900031993,2.6127450980392157,5064.541666666667,0.003933157082318967,0.002670543493925051
Harbor OpenCode-only,400,0.3105725108225108,0.13660548355254132,1.80888671875,2.042333333333333,2.46,19.034032231657232,0.1724393838204193,270690.4,10541.88,76.02990748340002,2.394607843137255,2574.9313725490197,0.0030803969387157336,0.0018282461108336781
Harbor OpenCode-only,500,0.46779365079365076,0.13306280535237497,1.560234375,2.022333333333333,2.33,17.237106809856808,0.14127172032796412,327919.8,12308.57,75.64743303306008,2.7301159352629942,3332.42470821662,0.0025820452011899382,0.002231793405654206
Harbor OpenCode-only,600,0.4499239094239094,0.1470729348302163,1.78265625,2.184,2.29,16.578901348651346,0.1763313325828645,328079.69,10794.23,60.88787030558,2.660502874318664,3108.048309439099,0.001838536804866822,0.001952234455951008
Harbor OpenCode-only,700,0.4436214711715873,0.14341516735157175,2.1547265625,1.9445,2.26,15.192719801408172,0.22907039219006176,436042.34,8913.29,64.5336026951499,3.63704745155638,2175.0650726010103,0.002594599951658072,0.0018724857904997049
Harbor OpenCode-only,800,0.438452406417842,0.17447699038519943,2.55837890625,2.11,2.46,15.826681698851091,0.2192432145564864,625733.73,12826.87,72.59849311632003,4.21397018160411,3152.636801442605,0.003508212072951627,0.001373625607360752
Harbor OpenCode-only,900,0.4337144914822021,0.17869817124870213,2.6642578125,2.1835,2.35,13.61259492586263,0.22333017742691244,629580.03,12224.67,70.1935425982601,4.564449917898194,3654.4251231527096,0.0030231491391100518,0.001325954932362795
Harbor OpenCode-only,1000,0.33886414499712514,0.1568996988469791,2.265947265625,2.019,2.47,17.96717597866881,0.14836250005459165,628855.53,14667.78,79.97377342697,3.785609857978279,3874.793149540518,0.0020346568106116418,0.000934227482170192
Harbor multi-harness,100,0.37215481064105627,0.2637117265651165,4.17544921875,1.7269317640313784,2.1,14.091755350686729,0.16644353977207949,1876880.23,23414.85,219.83294780647236,4.371736225174313,2434.2689411490683,0.009547546282052555,0.008544461813041776
Harbor multi-harness,200,0.33429811481932725,0.2817592404597404,1.7822265625,1.4976190476190476,1.89,15.786707289453354,0.15555696292824975,1010823.58,14095.95,94.76055106370606,4.875117897400506,2749.4112031285945,0.003997303393562508,0.0039874680662799035
