run,checkpoint,harness,difficulty,correct,graded,pass_at_1
Harbor multi-harness,0,opencode,easy,11,33,0.3333333333333333
Harbor multi-harness,0,opencode,medium,10,118,0.0847457627118644
Harbor multi-harness,0,opencode,hard,6,99,0.06060606060606061
Harbor multi-harness,0,claude-code,easy,14,33,0.42424242424242425
Harbor multi-harness,0,claude-code,medium,22,118,0.1864406779661017
Harbor multi-harness,0,claude-code,hard,6,99,0.06060606060606061
Harbor multi-harness,0,codex,easy,14,33,0.42424242424242425
Harbor multi-harness,0,codex,medium,20,118,0.1694915254237288
Harbor multi-harness,0,codex,hard,7,99,0.0707070707070707
Harbor multi-harness,0,mini-swe-agent,easy,14,33,0.42424242424242425
Harbor multi-harness,0,mini-swe-agent,medium,16,118,0.13559322033898305
Harbor multi-harness,0,mini-swe-agent,hard,6,99,0.06060606060606061
Harbor multi-harness,100,opencode,easy,17,33,0.5151515151515151
Harbor multi-harness,100,opencode,medium,37,118,0.3135593220338983
Harbor multi-harness,100,opencode,hard,7,99,0.0707070707070707
Harbor multi-harness,100,claude-code,easy,20,33,0.6060606060606061
Harbor multi-harness,100,claude-code,medium,38,118,0.3220338983050847
Harbor multi-harness,100,claude-code,hard,11,99,0.1111111111111111
Harbor multi-harness,100,codex,easy,19,33,0.5757575757575758
Harbor multi-harness,100,codex,medium,42,118,0.3559322033898305
Harbor multi-harness,100,codex,hard,9,99,0.09090909090909091
Harbor multi-harness,100,mini-swe-agent,easy,14,33,0.42424242424242425
Harbor multi-harness,100,mini-swe-agent,medium,27,118,0.2288135593220339
Harbor multi-harness,100,mini-swe-agent,hard,7,99,0.0707070707070707
Harbor multi-harness,200,opencode,easy,17,33,0.5151515151515151
Harbor multi-harness,200,opencode,medium,41,118,0.3474576271186441
Harbor multi-harness,200,opencode,hard,18,99,0.18181818181818182
Harbor multi-harness,200,claude-code,easy,21,33,0.6363636363636364
Harbor multi-harness,200,claude-code,medium,39,118,0.3305084745762712
Harbor multi-harness,200,claude-code,hard,15,99,0.15151515151515152
Harbor multi-harness,200,codex,easy,21,33,0.6363636363636364
Harbor multi-harness,200,codex,medium,35,118,0.2966101694915254
Harbor multi-harness,200,codex,hard,10,99,0.10101010101010101
Harbor multi-harness,200,mini-swe-agent,easy,18,33,0.5454545454545454
Harbor multi-harness,200,mini-swe-agent,medium,27,118,0.2288135593220339
Harbor multi-harness,200,mini-swe-agent,hard,1,99,0.010101010101010102
Harbor multi-harness,300,opencode,easy,20,33,0.6060606060606061
Harbor multi-harness,300,opencode,medium,39,118,0.3305084745762712
Harbor multi-harness,300,opencode,hard,15,99,0.15151515151515152
Harbor multi-harness,300,claude-code,easy,22,33,0.6666666666666666
Harbor multi-harness,300,claude-code,medium,46,118,0.3898305084745763
Harbor multi-harness,300,claude-code,hard,15,99,0.15151515151515152
Harbor multi-harness,300,codex,easy,23,33,0.696969696969697
Harbor multi-harness,300,codex,medium,39,118,0.3305084745762712
Harbor multi-harness,300,codex,hard,12,99,0.12121212121212122
Harbor multi-harness,300,mini-swe-agent,easy,20,33,0.6060606060606061
Harbor multi-harness,300,mini-swe-agent,medium,31,118,0.2627118644067797
Harbor multi-harness,300,mini-swe-agent,hard,4,99,0.04040404040404041
Harbor multi-harness,400,opencode,easy,24,33,0.7272727272727273
Harbor multi-harness,400,opencode,medium,45,118,0.3813559322033898
Harbor multi-harness,400,opencode,hard,13,99,0.13131313131313133
Harbor multi-harness,400,claude-code,easy,25,33,0.7575757575757576
Harbor multi-harness,400,claude-code,medium,53,118,0.4491525423728814
Harbor multi-harness,400,claude-code,hard,14,99,0.1414141414141414
Harbor multi-harness,400,codex,easy,24,33,0.7272727272727273
Harbor multi-harness,400,codex,medium,50,118,0.423728813559322
Harbor multi-harness,400,codex,hard,13,99,0.13131313131313133
Harbor multi-harness,400,mini-swe-agent,easy,24,33,0.7272727272727273
Harbor multi-harness,400,mini-swe-agent,medium,39,118,0.3305084745762712
Harbor multi-harness,400,mini-swe-agent,hard,9,99,0.09090909090909091
Harbor multi-harness,500,opencode,easy,23,33,0.696969696969697
Harbor multi-harness,500,opencode,medium,48,118,0.4067796610169492
Harbor multi-harness,500,opencode,hard,11,99,0.1111111111111111
