arm,step,solve_rate,mean_guesses,frac_dead,frac_cliff,frac_collapse
sparse-grpo,1,0.635,5.295,0.0,0.0,0.0
sparse-grpo,25,0.695,5.055,0.0,0.0,0.0
sparse-grpo,50,0.72,5.17,0.005,0.005,0.0
sparse-grpo,75,0.77,4.775,0.02,0.02,0.0
sparse-grpo,100,0.755,4.99,0.0425,0.035,0.0075
sparse-grpo,125,0.725,4.945,0.082,0.05,0.032
sparse-grpo,150,0.735,5.035,0.11666666666666667,0.07333333333333333,0.043333333333333335
sparse-grpo,175,0.7,5.095,0.16142857142857142,0.09142857142857143,0.07
sparse-grpo,200,0.745,5.035,0.2,0.11625,0.08375
sparse-alive,1,0.675,5.18,0.0,0.0,0.0
sparse-alive,25,0.675,5.135,0.0,0.0,0.0
sparse-alive,50,0.79,4.895,0.0,0.0,0.0
sparse-alive,75,0.73,5.17,0.0,0.0,0.0
sparse-alive,100,0.745,5.165,0.0,0.0,0.0
sparse-alive,125,0.75,5.155,0.004,0.002,0.002
sparse-alive,150,0.77,5.095,0.016666666666666666,0.006666666666666667,0.01
sparse-alive,175,0.72,5.125,0.03,0.008571428571428572,0.02142857142857143
sparse-alive,200,0.7,5.13,0.0475,0.01625,0.03125
process-grpo,1,0.67,5.275,0.0,0.0,0.0
process-grpo,25,0.74,5.105,0.0,0.0,0.0
process-grpo,50,0.775,4.855,0.005,0.005,0.0
process-grpo,75,0.74,4.97,0.006666666666666667,0.006666666666666667,0.0
process-grpo,100,0.73,5.17,0.01,0.01,0.0
process-grpo,125,0.74,4.85,0.016,0.016,0.0
process-grpo,150,0.79,4.94,0.02666666666666667,0.025,0.0016666666666666668
process-grpo,175,0.755,4.92,0.07428571428571429,0.05,0.024285714285714285
process-grpo,200,0.8,4.92,0.11125,0.06375,0.0475
process-alive,1,0.705,5.23,0.0,0.0,0.0
process-alive,25,0.625,5.25,0.0,0.0,0.0
process-alive,50,0.705,5.1,0.0,0.0,0.0
process-alive,75,0.805,4.875,0.0,0.0,0.0
process-alive,100,0.78,5.03,0.0,0.0,0.0
process-alive,125,0.755,5.265,0.002,0.002,0.0
process-alive,150,0.76,5.07,0.011666666666666667,0.005,0.006666666666666667
process-alive,175,0.82,5.015,0.022857142857142857,0.011428571428571429,0.011428571428571429
process-alive,200,0.76,5.05,0.03125,0.01625,0.015
